"Requested ID","Matched ID(s)","Releases"
"ENSG00000215557","ENSG00000215557","55: ENSG00000215557.2"
"ENSG00000213991","ENSG00000213991","110: ENSG00000213991.250: ENSG00000213991.2"
"ENSG00000188193","ENSG00000188193","26: ENSG00000188193.2"
"ENSG00000100357","ENSG00000100357","50: ENSG00000100357.638: ENSG00000100357.526: ENSG00000100357.421: ENSG00000100357.315: ENSG00000100357.23: ENSG00000100357.1"
"ENSG00000157341","ENSG00000157341","55: ENSG00000157341.726: ENSG00000157341.621: ENSG00000157341.515: ENSG00000157341.2"
"ENSG00000161149","ENSG00000161149","110: ENSG00000161149.12100: ENSG00000161149.1299: ENSG00000161149.1298: ENSG00000161149.1288: ENSG00000161149.1281: ENSG00000161149.1179: ENSG00000161149.1077: ENSG00000161149.976: ENSG00000161149.855: ENSG00000161149.750: ENSG00000161149.647: ENSG00000161149.538: ENSG00000161149.426: ENSG00000161149.315: ENSG00000161149.2"
"ENSG00000161149","ENSG00000284130","110: ENSG00000284130.2108: ENSG00000284130.2"
"ENSG00000203905","ENSG00000203905","62: ENSG00000203905.555: ENSG00000203905.450: ENSG00000203905.347: ENSG00000203905.2"
"ENSG00000172678","ENSG00000172678","58: ENSG00000172678.555: ENSG00000172678.438: ENSG00000172678.326: ENSG00000172678.2"
"ENSG00000215897","ENSG00000215897","62: ENSG00000215897.461: ENSG00000215897.355: ENSG00000215897.2"
"ENSG00000182368","ENSG00000182368","56: ENSG00000182368.447: ENSG00000182368.338: ENSG00000182368.2"
"ENSG00000183637","ENSG00000183637","38: ENSG00000183637.326: ENSG00000183637.2"
"ENSG00000204732","ENSG00000204732","110: ENSG00000204732.458: ENSG00000204732.456: ENSG00000204732.355: ENSG00000204732.2"
"ENSG00000075705","ENSG00000075705","38: ENSG00000075705.23: ENSG00000075705.1"
"ENSG00000203988","ENSG00000203988","47: ENSG00000203988.2"
"ENSG00000179378","ENSG00000179378","26: ENSG00000179378.2"
"ENSG00000148828","ENSG00000148828","62: ENSG00000148828.555: ENSG00000148828.447: ENSG00000148828.338: ENSG00000148828.23: ENSG00000148828.1"
"ENSG00000204018","ENSG00000204018","66: ENSG00000204018.658: ENSG00000204018.556: ENSG00000204018.455: ENSG00000204018.350: ENSG00000204018.2"
"ENSG00000205624","ENSG00000205624","47: ENSG00000205624.2"
"ENSG00000197494","ENSG00000225151","55: ENSG00000225151.1"
"ENSG00000197494","ENSG00000197494","47: ENSG00000197494.338: ENSG00000197494.2"
"ENSG00000184444","ENSG00000235233","55: ENSG00000235233.1"
"ENSG00000184444","ENSG00000231225","55: ENSG00000231225.1"
"ENSG00000184444","ENSG00000233051","55: ENSG00000233051.1"
"ENSG00000184444","ENSG00000184444","47: ENSG00000184444.638: ENSG00000184444.526: ENSG00000184444.421: ENSG00000184444.3"
"ENSG00000116148","ENSG00000116148","47: ENSG00000116148.638: ENSG00000116148.526: ENSG00000116148.421: ENSG00000116148.315: ENSG00000116148.23: ENSG00000116148.1"
"ENSG00000198403","ENSG00000198403","110: ENSG00000198403.238: ENSG00000198403.2"
"ENSG00000181283","ENSG00000181283","47: ENSG00000181283.438: ENSG00000181283.326: ENSG00000181283.2"
"ENSG00000173078","ENSG00000173078","50: ENSG00000173078.2"
"ENSG00000167765","ENSG00000167765","74: ENSG00000167765.360: ENSG00000167765.2"
"ENSG00000215857","ENSG00000215857","62: ENSG00000215857.355: ENSG00000215857.2"
"ENSG00000181368","ENSG00000181368","60: ENSG00000181368.857: ENSG00000181368.755: ENSG00000181368.650: ENSG00000181368.547: ENSG00000181368.426: ENSG00000181368.321: ENSG00000181368.2"
"ENSG00000181368","ENSG00000256235","62: ENSG00000256235.1"
"ENSG00000196885","ENSG00000196885","110: ENSG00000196885.247: ENSG00000196885.2"
"ENSG00000204133","ENSG00000204133","47: ENSG00000204133.2"
"ENSG00000215597","ENSG00000215597","110: ENSG00000215597.250: ENSG00000215597.2"
"ENSG00000215225","ENSG00000215225","110: ENSG00000215225.250: ENSG00000215225.2"
"ENSG00000188126","ENSG00000188126","62: ENSG00000188126.755: ENSG00000188126.650: ENSG00000188126.547: ENSG00000188126.438: ENSG00000188126.326: ENSG00000188126.2"
"ENSG00000196808","ENSG00000196808","38: ENSG00000196808.2"
"ENSG00000214356","ENSG00000214356","62: ENSG00000214356.355: ENSG00000214356.2"
"ENSG00000206044","ENSG00000206044","62: ENSG00000206044.355: ENSG00000206044.2"
"ENSG00000171282","ENSG00000171282","71: ENSG00000171282.967: ENSG00000171282.863: ENSG00000171282.762: ENSG00000171282.755: ENSG00000171282.650: ENSG00000171282.547: ENSG00000171282.426: ENSG00000171282.315: ENSG00000171282.2"
"ENSG00000215116","ENSG00000215116","56: ENSG00000215116.355: ENSG00000215116.2"
"ENSG00000188477","ENSG00000188477","85: ENSG00000188477.1381: ENSG00000188477.1279: ENSG00000188477.1177: ENSG00000188477.1076: ENSG00000188477.966: ENSG00000188477.862: ENSG00000188477.758: ENSG00000188477.656: ENSG00000188477.555: ENSG00000188477.447: ENSG00000188477.326: ENSG00000188477.2"
"ENSG00000211894","ENSG00000211894","58: ENSG00000211894.2"
"ENSG00000197294","ENSG00000197294","57: ENSG00000197294.2"
"ENSG00000214397","ENSG00000214397","62: ENSG00000214397.2"
"ENSG00000215059","ENSG00000215059","58: ENSG00000215059.355: ENSG00000215059.2"
"ENSG00000154537","ENSG00000154537","81: ENSG00000154537.456: ENSG00000154537.447: ENSG00000154537.338: ENSG00000154537.2"
"ENSG00000211729","ENSG00000211729","58: ENSG00000211729.355: ENSG00000211729.2"
"ENSG00000211729","ENSG00000253534","60: ENSG00000253534.1"
"ENSG00000215091","ENSG00000225468","55: ENSG00000225468.1"
"ENSG00000215091","ENSG00000215091","50: ENSG00000215091.2"
"ENSG00000215091","ENSG00000226569","55: ENSG00000226569.1"
"ENSG00000164216","ENSG00000164216","47: ENSG00000164216.438: ENSG00000164216.326: ENSG00000164216.2"
"ENSG00000181508","ENSG00000181508","62: ENSG00000181508.447: ENSG00000181508.326: ENSG00000181508.2"
"ENSG00000205180","ENSG00000205180","57: ENSG00000205180.347: ENSG00000205180.2"
"ENSG00000205906","ENSG00000205906","110: ENSG00000205906.250: ENSG00000205906.2"
"ENSG00000181935","ENSG00000181935","15: ENSG00000181935.2"
"ENSG00000185057","ENSG00000185057","56: ENSG00000185057.750: ENSG00000185057.647: ENSG00000185057.538: ENSG00000185057.4"
"ENSG00000184490","ENSG00000184490","58: ENSG00000184490.656: ENSG00000184490.555: ENSG00000184490.447: ENSG00000184490.326: ENSG00000184490.2"
"ENSG00000182981","ENSG00000182981","47: ENSG00000182981.438: ENSG00000182981.326: ENSG00000182981.2"
"ENSG00000181828","ENSG00000231861","55: ENSG00000231861.1"
"ENSG00000181828","ENSG00000232382","55: ENSG00000232382.1"
"ENSG00000188666","ENSG00000188666","26: ENSG00000188666.2"
"ENSG00000204474","ENSG00000204474","47: ENSG00000204474.2"
"ENSG00000185097","ENSG00000185097","62: ENSG00000185097.2"
"ENSG00000185097","ENSG00000278566","76: ENSG00000278566.1"
"ENSG00000185097","ENSG00000273547","76: ENSG00000273547.1"
"ENSG00000198256","ENSG00000198256","110: ENSG00000198256.347: ENSG00000198256.338: ENSG00000198256.2"
"ENSG00000215856","ENSG00000215856","62: ENSG00000215856.455: ENSG00000215856.350: ENSG00000215856.2"
"ENSG00000182989","ENSG00000182989","38: ENSG00000182989.4"
"ENSG00000197621","ENSG00000197621","38: ENSG00000197621.2"
"ENSG00000197621","ENSG00000236032","55: ENSG00000236032.1"
"ENSG00000197621","ENSG00000230301","55: ENSG00000230301.1"
"ENSG00000197621","ENSG00000231192","55: ENSG00000231192.1"
"ENSG00000197621","ENSG00000233412","55: ENSG00000233412.1"
"ENSG00000197621","ENSG00000232535","55: ENSG00000232535.1"
"ENSG00000212701","ENSG00000212701","55: ENSG00000212701.2"
"ENSG00000206325","ENSG00000230791","55: ENSG00000230791.1"
"ENSG00000206325","ENSG00000235915","55: ENSG00000235915.1"
"ENSG00000206325","ENSG00000231048","55: ENSG00000231048.1"
"ENSG00000206325","ENSG00000206325","47: ENSG00000206325.2"
"ENSG00000206325","ENSG00000234514","55: ENSG00000234514.1"
"ENSG00000206325","ENSG00000226182","55: ENSG00000226182.1"
"ENSG00000206325","ENSG00000223465","55: ENSG00000223465.1"
"ENSG00000176938","ENSG00000176938","15: ENSG00000176938.2"
"ENSG00000211709","ENSG00000224123","55: ENSG00000224123.1"
"ENSG00000211709","ENSG00000232574","55: ENSG00000232574.1"
"ENSG00000211709","ENSG00000237981","55: ENSG00000237981.1"
"ENSG00000211709","ENSG00000235936","55: ENSG00000235936.1"
"ENSG00000211709","ENSG00000228500","55: ENSG00000228500.1"
"ENSG00000211709","ENSG00000236805","55: ENSG00000236805.1"
"ENSG00000215143","ENSG00000215143","110: ENSG00000215143.250: ENSG00000215143.2"
"ENSG00000215405","ENSG00000215405","62: ENSG00000215405.355: ENSG00000215405.2"
"ENSG00000212894","ENSG00000212894","50: ENSG00000212894.2"
"ENSG00000214422","ENSG00000214422","55: ENSG00000214422.2"
"ENSG00000204844","ENSG00000204844","72: ENSG00000204844.770: ENSG00000204844.662: ENSG00000204844.555: ENSG00000204844.450: ENSG00000204844.347: ENSG00000204844.2"
"ENSG00000186172","ENSG00000186172","110: ENSG00000186172.238: ENSG00000186172.2"
"ENSG00000215099","ENSG00000215099","62: ENSG00000215099.355: ENSG00000215099.2"
"ENSG00000180958","ENSG00000180958","26: ENSG00000180958.2"
"ENSG00000196094","ENSG00000196094","38: ENSG00000196094.2"
"ENSG00000186979","ENSG00000230567","55: ENSG00000230567.1"
"ENSG00000186979","ENSG00000186979","50: ENSG00000186979.747: ENSG00000186979.638: ENSG00000186979.527: ENSG00000186979.426: ENSG00000186979.321: ENSG00000186979.2"
"ENSG00000186979","ENSG00000235173","55: ENSG00000235173.1"
"ENSG00000206243","ENSG00000228987","55: ENSG00000228987.1"
"ENSG00000206243","ENSG00000234794","55: ENSG00000234794.1"
"ENSG00000206243","ENSG00000227993","55: ENSG00000227993.1"
"ENSG00000206243","ENSG00000226260","55: ENSG00000226260.1"
"ENSG00000206243","ENSG00000206243","47: ENSG00000206243.2"
"ENSG00000206243","ENSG00000230726","55: ENSG00000230726.1"
"ENSG00000204073","ENSG00000204073","110: ENSG00000204073.250: ENSG00000204073.2"
"ENSG00000178206","ENSG00000178206","55: ENSG00000178206.338: ENSG00000178206.2"
"ENSG00000168614","ENSG00000168614","71: ENSG00000168614.1362: ENSG00000168614.1258: ENSG00000168614.1156: ENSG00000168614.1055: ENSG00000168614.947: ENSG00000168614.838: ENSG00000168614.726: ENSG00000168614.621: ENSG00000168614.515: ENSG00000168614.2"
"ENSG00000126542","ENSG00000126542","71: ENSG00000126542.1070: ENSG00000126542.962: ENSG00000126542.856: ENSG00000126542.755: ENSG00000126542.650: ENSG00000126542.538: ENSG00000126542.426: ENSG00000126542.321: ENSG00000126542.23: ENSG00000126542.1"
"ENSG00000215634","ENSG00000215634","50: ENSG00000215634.2"
"ENSG00000198757","ENSG00000198757","47: ENSG00000198757.338: ENSG00000198757.2"
"ENSG00000139210","ENSG00000139210","3: ENSG00000139210.1"
"ENSG00000197484","ENSG00000197484","38: ENSG00000197484.2"
"ENSG00000173046","ENSG00000173046","26: ENSG00000173046.2"
"ENSG00000196959","ENSG00000196959","56: ENSG00000196959.555: ENSG00000196959.447: ENSG00000196959.338: ENSG00000196959.2"
"ENSG00000183729","ENSG00000183729","62: ENSG00000183729.326: ENSG00000183729.2"
"ENSG00000186445","ENSG00000186445","55: ENSG00000186445.2"
"ENSG00000163593","ENSG00000163593","47: ENSG00000163593.2"
"ENSG00000215762","ENSG00000215762","55: ENSG00000215762.2"
"ENSG00000205751","ENSG00000205751","47: ENSG00000205751.2"
"ENSG00000203621","ENSG00000235155","55: ENSG00000235155.1"
"ENSG00000203621","ENSG00000203621","47: ENSG00000203621.2"
"ENSG00000203621","ENSG00000236802","55: ENSG00000236802.1"
"ENSG00000203621","ENSG00000226936","55: ENSG00000226936.1"
"ENSG00000203621","ENSG00000235863","55: ENSG00000235863.1"
"ENSG00000211636","ENSG00000244437","56: ENSG00000244437.1"
"ENSG00000211636","ENSG00000239951","56: ENSG00000239951.1"
"ENSG00000211636","ENSG00000243063","56: ENSG00000243063.1"
"ENSG00000211636","ENSG00000241351","56: ENSG00000241351.1"
"ENSG00000171567","ENSG00000221944","110: ENSG00000221944.151: ENSG00000221944.1"
"ENSG00000171567","ENSG00000171567","110: ENSG00000171567.247: ENSG00000171567.2"
"ENSG00000163826","ENSG00000163826","26: ENSG00000163826.2"
"ENSG00000184280","ENSG00000184280","26: ENSG00000184280.321: ENSG00000184280.2"
"ENSG00000213828","ENSG00000213828","63: ENSG00000213828.1"
"ENSG00000163009","ENSG00000163009","92: ENSG00000163009.981: ENSG00000163009.879: ENSG00000163009.777: ENSG00000163009.676: ENSG00000163009.556: ENSG00000163009.447: ENSG00000163009.338: ENSG00000163009.2"
"ENSG00000184750","ENSG00000184750","62: ENSG00000184750.1158: ENSG00000184750.1056: ENSG00000184750.955: ENSG00000184750.847: ENSG00000184750.738: ENSG00000184750.626: ENSG00000184750.521: ENSG00000184750.4"
"ENSG00000196176","ENSG00000275126","76: ENSG00000275126.1"
"ENSG00000196176","ENSG00000276966","76: ENSG00000276966.1"
"ENSG00000196176","ENSG00000274618","76: ENSG00000274618.1"
"ENSG00000196176","ENSG00000196176","68: ENSG00000196176.762: ENSG00000196176.655: ENSG00000196176.550: ENSG00000196176.447: ENSG00000196176.338: ENSG00000196176.2"
"ENSG00000196176","ENSG00000278637","76: ENSG00000278637.1"
"ENSG00000196176","ENSG00000273542","76: ENSG00000273542.1"
"ENSG00000196176","ENSG00000277157","76: ENSG00000277157.1"
"ENSG00000186702","ENSG00000186702","55: ENSG00000186702.850: ENSG00000186702.747: ENSG00000186702.638: ENSG00000186702.526: ENSG00000186702.421: ENSG00000186702.3"
"ENSG00000215697","ENSG00000215697","50: ENSG00000215697.2"
"ENSG00000185928","ENSG00000185928","74: ENSG00000185928.767: ENSG00000185928.666: ENSG00000185928.556: ENSG00000185928.450: ENSG00000185928.338: ENSG00000185928.2"
"ENSG00000185928","ENSG00000280789","79: ENSG00000280789.1"
"ENSG00000198558","ENSG00000277157","76: ENSG00000277157.1"
"ENSG00000198558","ENSG00000273542","76: ENSG00000273542.1"
"ENSG00000198558","ENSG00000278637","76: ENSG00000278637.1"
"ENSG00000198558","ENSG00000198558","55: ENSG00000198558.2"
"ENSG00000198558","ENSG00000274618","76: ENSG00000274618.1"
"ENSG00000198558","ENSG00000276966","76: ENSG00000276966.1"
"ENSG00000198558","ENSG00000275126","76: ENSG00000275126.1"
"ENSG00000205281","ENSG00000205281","68: ENSG00000205281.666: ENSG00000205281.565: ENSG00000205281.462: ENSG00000205281.355: ENSG00000205281.2"
