accession_number	gene	all_gene_names
Q8N6V9	TEX9	TEX9
O15160	POLR1C	POLR1C
Q9BRJ9	MESP1	MESP1
Q8NG08	HELB	HELB
O95073	FSBP	FSBP
Q969P5	FBXO32	FBXO32
Q969P6	TOP1MT	TOP1MT
P07686	HEXB	HEXB
O15162	PLSCR1	PLSCR1
Q8TEQ0	SNX29	SNX29
O95076	ALX3	ALX3
O15164	TRIM24	TRIM24
Q5VZ72	IZUMO3	IZUMO3
O15165	LDLRAD4	LDLRAD4
Q9HB29	IL1RL2	IL1RL2
Q96PS1	FANCD2OS	FANCD2OS
Q9UHY1	NRBP1	NRBP1
Q5T1Q4	SLC35F1	SLC35F1
Q14151	SAFB2	SAFB2
Q8TEQ6	GEMIN5	GEMIN5
Q14152	EIF3A	EIF3A
O15169	AXIN1	AXIN1
Q14153	FAM53B	FAM53B
Q01534	TSPY1	TSPY1
H3BMG3	SMKR1	SMKR1
Q8TEQ8	PIGO	PIGO
P15090	FABP4	FABP4
Q14154	DELE1	DELE1
P16870	CPE	CPE
Q15935	ZNF77	ZNF77
Q96HC4	PDLIM5	PDLIM5
P16871	IL7R	IL7R
Q14155	ARHGEF7	ARHGEF7
Q5FYA8	ARSH	ARSH
Q9UHY7	ENOPH1	ENOPH1
Q14156	EFR3A	EFR3A
Q96PS8	AQP10	AQP10
Q15937	ZNF79	ZNF79
Q14157	UBAP2L	UBAP2L
Q9UHY8	FEZ2	FEZ2
P51854	TKTL1	TKTL1
Q01538	MYT1	MYT1
Q14159	SPIDR	SPIDR
P23415	GLRA1	GLRA1
Q99731	CCL19	CCL19
Q4JDL3	PTPN20	PTPN20
Q99732	LITAF	LITAF
P23416	GLRA2	GLRA2
P51857	AKR1D1	AKR1D1
Q99733	NAP1L4	NAP1L4
P51858	HDGF	HDGF
Q3SY46	KRTAP13-3	KRTAP13-3
Q9BWF2	TRAIP	TRAIP
P55735	SEC13	SEC13
Q99735	MGST2	MGST2
Q9NWV4	CZIB	CZIB
Q9BWF3	RBM4	RBM4
Q6NT04	TIGD7	TIGD7
A0A1B0GTS1	HSFX4	HSFX4
Q9H6T0	ESRP2	ESRP2
Q9NWV8	BABAM1	BABAM1
Q9H6T3	RPAP3	RPAP3
Q53G44	IFI44L	IFI44L
Q5T848	GPR158	GPR158
Q6PKC3	TXNDC11	TXNDC11
Q6NZY4	ZCCHC8	ZCCHC8
Q0VDE8	ADIG	ADIG
Q6ZRY4	RBPMS2	RBPMS2
P0CJ70	MTRNR2L3	MTRNR2L3
Q5T6M2	LINC00242	LINC00242
Q8NB50	ZFP62	ZFP62
Q8WZ71	TMEM158	TMEM158
P0CJ71	MTRNR2L4	MTRNR2L4
Q6NZY7	CDC42EP5	CDC42EP5
A6NLE4	SMIM23	SMIM23
P0CJ72	MTRNR2L5	MTRNR2L5
Q8IZK6	MCOLN2	MCOLN2
Q9Y5Q0	FADS3	FADS3
Q8WZ73	RFFL	RFFL
P0CJ73	MTRNR2L6	MTRNR2L6
P63146	UBE2B	UBE2B
P0CJ74	MTRNR2L7	MTRNR2L7
Q8WZ74	CTTNBP2	CTTNBP2
Q8WZ75	ROBO4	ROBO4
P0CJ75	MTRNR2L8	MTRNR2L8
Q9Y5Q3	MAFB	MAFB
