A1BG	alpha-1-B glycoprotein
A1BG-AS1	A1BG antisense RNA 1
A1CF	APOBEC1 complementation factor
A2M	alpha-2-macroglobulin
A2M-AS1	A2M antisense RNA 1 (head to head)
A2ML1	alpha-2-macroglobulin like 1
A2ML1-AS1	A2ML1 antisense RNA 1
A2ML1-AS2	A2ML1 antisense RNA 2
A2MP1	alpha-2-macroglobulin pseudogene 1
A3GALT2	alpha 1,3-galactosyltransferase 2
A4GALT	alpha 1,4-galactosyltransferase
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase
AAAS	aladin WD repeat nucleoporin
AACS	acetoacetyl-CoA synthetase
AACSP1	acetoacetyl-CoA synthetase pseudogene 1
AADAC	arylacetamide deacetylase
AADACL2	arylacetamide deacetylase-like 2
AADACL2-AS1	AADACL2 antisense RNA 1
AADACL3	arylacetamide deacetylase-like 3
AADACL4	arylacetamide deacetylase-like 4
AADACP1	arylacetamide deacetylase pseudogene 1
AADAT	aminoadipate aminotransferase
AAED1	AhpC/TSA antioxidant enzyme domain containing 1
AAGAB	alpha- and gamma-adaptin binding protein
AAK1	AP2 associated kinase 1
AAMDC	adipogenesis associated, Mth938 domain containing
AAMP	angio associated migratory cell protein
AANAT	aralkylamine N-acetyltransferase
AAR2	AAR2 splicing factor homolog
AARD	alanine and arginine rich domain containing protein
AARS	alanyl-tRNA synthetase
AARS2	alanyl-tRNA synthetase 2, mitochondrial
AARSD1	alanyl-tRNA synthetase domain containing 1
AARSP1	alanyl-tRNA synthetase pseudogene 1
AASDH	aminoadipate-semialdehyde dehydrogenase
AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS	aminoadipate-semialdehyde synthase
AATBC	apoptosis associated transcript in bladder cancer
AATF	apoptosis antagonizing transcription factor
AATK	apoptosis-associated tyrosine kinase
AATK-AS1	AATK antisense RNA 1
AAVS1	adeno-associated virus integration site 1
ABALON	apoptotic BCL2L1-antisense long non-coding RNA
ABAT	4-aminobutyrate aminotransferase
ABCA1	ATP binding cassette subfamily A member 1
ABCA2	ATP binding cassette subfamily A member 2
ABCA3	ATP binding cassette subfamily A member 3
ABCA4	ATP binding cassette subfamily A member 4
ABCA5	ATP binding cassette subfamily A member 5
ABCA6	ATP binding cassette subfamily A member 6
ABCA7	ATP binding cassette subfamily A member 7
ABCA8	ATP binding cassette subfamily A member 8
ABCA9	ATP binding cassette subfamily A member 9
ABCA9-AS1	ABCA9 antisense RNA 1
ABCA10	ATP binding cassette subfamily A member 10
ABCA11P	ATP binding cassette subfamily A member 11, pseudogene
ABCA12	ATP binding cassette subfamily A member 12
ABCA13	ATP binding cassette subfamily A member 13
ABCA17P	ATP binding cassette subfamily A member 17, pseudogene
ABCB1	ATP binding cassette subfamily B member 1
ABCB4	ATP binding cassette subfamily B member 4
ABCB5	ATP binding cassette subfamily B member 5
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)
ABCB7	ATP binding cassette subfamily B member 7
ABCB8	ATP binding cassette subfamily B member 8
ABCB9	ATP binding cassette subfamily B member 9
ABCB10	ATP binding cassette subfamily B member 10
ABCB10P1	ATP binding cassette subfamily B member 10 pseudogene 1
ABCB10P3	ATP binding cassette subfamily B member 10 pseudogene 3
ABCB10P4	ATP binding cassette subfamily B member 10 pseudogene 4
ABCB11	ATP binding cassette subfamily B member 11
ABCC1	ATP binding cassette subfamily C member 1
ABCC2	ATP binding cassette subfamily C member 2
ABCC3	ATP binding cassette subfamily C member 3
ABCC4	ATP binding cassette subfamily C member 4
ABCC5	ATP binding cassette subfamily C member 5
ABCC5-AS1	ABCC5 antisense RNA 1
ABCC6	ATP binding cassette subfamily C member 6
ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1
ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2
ABCC8	ATP binding cassette subfamily C member 8
ABCC9	ATP binding cassette subfamily C member 9
ABCC10	ATP binding cassette subfamily C member 10
ABCC11	ATP binding cassette subfamily C member 11
ABCC12	ATP binding cassette subfamily C member 12
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)
ABCD1	ATP binding cassette subfamily D member 1
ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1
ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2
