Approved Symbol	Gene family description
AGPAT1	1-acylglycerol-3-phosphate O-acyltransferases
AGPAT2	1-acylglycerol-3-phosphate O-acyltransferases
AGPAT3	1-acylglycerol-3-phosphate O-acyltransferases
AGPAT4	1-acylglycerol-3-phosphate O-acyltransferases
AGPAT5	1-acylglycerol-3-phosphate O-acyltransferases
GPAT4	1-acylglycerol-3-phosphate O-acyltransferases
LPCAT4	1-acylglycerol-3-phosphate O-acyltransferases
LCLAT1	1-acylglycerol-3-phosphate O-acyltransferases
LPCAT1	1-acylglycerol-3-phosphate O-acyltransferases
LPCAT2	1-acylglycerol-3-phosphate O-acyltransferases
GPAT3	1-acylglycerol-3-phosphate O-acyltransferases
YWHAB	14-3-3 phospho-serine/phospho-threonine binding proteins
YWHAE	14-3-3 phospho-serine/phospho-threonine binding proteins
YWHAG	14-3-3 phospho-serine/phospho-threonine binding proteins
YWHAH	14-3-3 phospho-serine/phospho-threonine binding proteins
YWHAQ	14-3-3 phospho-serine/phospho-threonine binding proteins
YWHAZ	14-3-3 phospho-serine/phospho-threonine binding proteins
SFN	14-3-3 phospho-serine/phospho-threonine binding proteins
RNA18S1	18S ribosomal RNAs
RNA18S2	18S ribosomal RNAs
RNA18S3	18S ribosomal RNAs
RNA18S4	18S ribosomal RNAs
RNA18S5	18S ribosomal RNAs
RNA28S1	28S ribosomal RNAs
RNA28S2	28S ribosomal RNAs
RNA28S3	28S ribosomal RNAs
RNA28S4	28S ribosomal RNAs
RNA28S5	28S ribosomal RNAs
RNA45S1	45S pre-ribosomal RNAs
RNA45S2	45S pre-ribosomal RNAs
RNA45S3	45S pre-ribosomal RNAs
RNA45S4	45S pre-ribosomal RNAs
RNA45S5	45S pre-ribosomal RNAs
NT5C	5'-nucleotidases
NT5C1A	5'-nucleotidases
NT5C1B	5'-nucleotidases
NT5C2	5'-nucleotidases
NT5C3A	5'-nucleotidases
NT5M	5'-nucleotidases
NT5E	5'-nucleotidases
HTR1A	5-hydroxytryptamine receptors, G protein-coupled
HTR1B	5-hydroxytryptamine receptors, G protein-coupled
HTR1D	5-hydroxytryptamine receptors, G protein-coupled
HTR1E	5-hydroxytryptamine receptors, G protein-coupled
HTR1F	5-hydroxytryptamine receptors, G protein-coupled
HTR2A	5-hydroxytryptamine receptors, G protein-coupled
HTR2B	5-hydroxytryptamine receptors, G protein-coupled
HTR2C	5-hydroxytryptamine receptors, G protein-coupled
HTR4	5-hydroxytryptamine receptors, G protein-coupled
HTR5A	5-hydroxytryptamine receptors, G protein-coupled
HTR6	5-hydroxytryptamine receptors, G protein-coupled
HTR7	5-hydroxytryptamine receptors, G protein-coupled
HTR5BP	5-hydroxytryptamine receptors, G protein-coupled
HTR3A	5-hydroxytryptamine receptors, ionotropic 
HTR3B	5-hydroxytryptamine receptors, ionotropic 
HTR3C	5-hydroxytryptamine receptors, ionotropic 
HTR3D	5-hydroxytryptamine receptors, ionotropic 
HTR3E	5-hydroxytryptamine receptors, ionotropic 
RNA5-8S1	5.8S ribosomal RNAs
RNA5-8S2	5.8S ribosomal RNAs
RNA5-8S3	5.8S ribosomal RNAs
RNA5-8S4	5.8S ribosomal RNAs
RNA5-8S5	5.8S ribosomal RNAs
PELP1	5FMC ribosome biogenesis complex
TEX10	5FMC ribosome biogenesis complex
LAS1L	5FMC ribosome biogenesis complex
NOL9	5FMC ribosome biogenesis complex
WDR18	5FMC ribosome biogenesis complex
SENP3	5FMC ribosome biogenesis complex
RNA5S1	5S ribosomal RNAs
RNA5S10	5S ribosomal RNAs
RNA5S11	5S ribosomal RNAs
RNA5S12	5S ribosomal RNAs
RNA5S13	5S ribosomal RNAs
RNA5S14	5S ribosomal RNAs
RNA5S15	5S ribosomal RNAs
RNA5S16	5S ribosomal RNAs
RNA5S17	5S ribosomal RNAs
RNA5S2	5S ribosomal RNAs
RNA5S3	5S ribosomal RNAs
RNA5S4	5S ribosomal RNAs
RNA5S5	5S ribosomal RNAs
RNA5S6	5S ribosomal RNAs
RNA5S7	5S ribosomal RNAs
RNA5S8	5S ribosomal RNAs
RNA5S9	5S ribosomal RNAs
PFKFB1	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases
PFKFB2	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases
PFKFB3	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases
PFKFB4	6-phosphofructo-2-kinases/fructose-2,6-biphosphatases
CDH16	7D cadherins
CDH17	7D cadherins
GPR107	7TM orphan receptors
GPR108	7TM orphan receptors
GPR137	7TM orphan receptors
GPR143	7TM orphan receptors
TPRA1	7TM orphan receptors
GPR157	7TM orphan receptors
ACBD3	A-kinase anchoring proteins
AKAP1	A-kinase anchoring proteins
AKAP10	A-kinase anchoring proteins
AKAP11	A-kinase anchoring proteins
AKAP12	A-kinase anchoring proteins
AKAP13	A-kinase anchoring proteins
AKAP14	A-kinase anchoring proteins
AKAP17A	A-kinase anchoring proteins
AKAP17BP	A-kinase anchoring proteins
AKAP2	A-kinase anchoring proteins
AKAP3	A-kinase anchoring proteins
AKAP4	A-kinase anchoring proteins
AKAP5	A-kinase anchoring proteins
AKAP6	A-kinase anchoring proteins
AKAP7	A-kinase anchoring proteins
AKAP8	A-kinase anchoring proteins
AKAP9	A-kinase anchoring proteins
ARFGEF2	A-kinase anchoring proteins
CBFA2T3	A-kinase anchoring proteins
CMYA5	A-kinase anchoring proteins
EZR	A-kinase anchoring proteins
MAP2	A-kinase anchoring proteins
MYO7A	A-kinase anchoring proteins
MYRIP	A-kinase anchoring proteins
NBEA	A-kinase anchoring proteins
NF2	A-kinase anchoring proteins
RAB32	A-kinase anchoring proteins
SPHKAP	A-kinase anchoring proteins
SYNM	A-kinase anchoring proteins
WASF1	A-kinase anchoring proteins
AFG3L1P	AAA ATPases
AFG3L2	AAA ATPases
ATAD1	AAA ATPases
ATAD2	AAA ATPases
ATAD2B	AAA ATPases
ATAD3A	AAA ATPases
ATAD3B	AAA ATPases
ATAD3C	AAA ATPases
ATAD5	AAA ATPases
BCS1L	AAA ATPases
CHTF18	AAA ATPases
CLPB	AAA ATPases
CLPP	AAA ATPases
CLPX	AAA ATPases
FIGN	AAA ATPases
FIGNL1	AAA ATPases
FIGNL2	AAA ATPases
IQCA1	AAA ATPases
KATNA1	AAA ATPases
KATNAL1	AAA ATPases
KATNAL2	AAA ATPases
LONP1	AAA ATPases
LONP2	AAA ATPases
NSF	AAA ATPases
NVL	AAA ATPases
ORC1	AAA ATPases
ORC4	AAA ATPases
PEX1	AAA ATPases
PEX6	AAA ATPases
PSMC1	AAA ATPases
PSMC2	AAA ATPases
PSMC3	AAA ATPases
PSMC4	AAA ATPases
PSMC5	AAA ATPases
PSMC6	AAA ATPases
RFC1	AAA ATPases
RFC2	AAA ATPases
RFC3	AAA ATPases
RFC4	AAA ATPases
RFC5	AAA ATPases
RUVBL1	AAA ATPases
RUVBL2	AAA ATPases
SPAST	AAA ATPases
SPATA5	AAA ATPases
SPATA5L1	AAA ATPases
SPG7	AAA ATPases
TRIP13	AAA ATPases
VCP	AAA ATPases
VPS4A	AAA ATPases
VPS4B	AAA ATPases
WRNIP1	AAA ATPases
YME1L1	AAA ATPases
MDN1	AAA ATPases
ABHD1	Abhydrolase domain containing
ABHD10	Abhydrolase domain containing
ABHD11	Abhydrolase domain containing
ABHD12	Abhydrolase domain containing
ABHD12B	Abhydrolase domain containing
ABHD13	Abhydrolase domain containing
ABHD14A	Abhydrolase domain containing
ABHD14B	Abhydrolase domain containing
ABHD15	Abhydrolase domain containing
ABHD16A	Abhydrolase domain containing
ABHD16B	Abhydrolase domain containing
ABHD17A	Abhydrolase domain containing
ABHD17B	Abhydrolase domain containing
ABHD17C	Abhydrolase domain containing
ABHD2	Abhydrolase domain containing
ABHD3	Abhydrolase domain containing
ABHD4	Abhydrolase domain containing
ABHD5	Abhydrolase domain containing
ABHD6	Abhydrolase domain containing
ABHD8	Abhydrolase domain containing
EPHX3	Abhydrolase domain containing
EPHX4	Abhydrolase domain containing
ACP1	Acid phosphatases
ACP2	Acid phosphatases
ACP5	Acid phosphatases
ACP6	Acid phosphatases
ACPP	Acid phosphatases
ACPT	Acid phosphatases
PXYLP1	Acid phosphatases
ASIC1	Acid sensing ion channel subunits
ASIC2	Acid sensing ion channel subunits
ASIC3	Acid sensing ion channel subunits
ASIC4	Acid sensing ion channel subunits
ASIC5	Acid sensing ion channel subunits
ARPC1A	Actin related protein 2/3 complex 
ARPC1B	Actin related protein 2/3 complex 
ARPC2	Actin related protein 2/3 complex 
ARPC3	Actin related protein 2/3 complex 
ARPC4	Actin related protein 2/3 complex 
ARPC5	Actin related protein 2/3 complex 
ARPC5L	Actin related protein 2/3 complex 
ACTR2	Actin related protein 2/3 complex 
