gene	rep1	rep2
HYPM	-0.3367181981	-0.020085614
ARI1A	2.7432085407	1.5629892526
TIMM10B	1.2577004559	1.3993020048
F12	1.3329144703	1.5255447444
VPS8	0.6924559131	0.1499399441
RARA	-1.2371113153	-0.8553946709
CTIF	0.9349117	1.2865965615
YAP1	-0.3208688065	-0.1654800066
RIMKLB	-0.6036941158	0.5008296127
LSM11	-0.673377061	-0.7285280066
NELL1	1.0237386973	1.3765578685
AP2A1	0.6891048878	0.1952252421
CNP	0.7759359906	0.9471816867
CCDC84	-0.0958368481	0.0703208474
SARNP	0.9863326143	1.7108132737
DDTL	-0.4057487311	-0.6511938921
TCERG1	-1.6645614453	-1.5487886214
TXNL4B	-2.296238237	-1.895276719
CLN6	-1.8310063458	-1.1189730234
EPM2AIP1	-0.414879682	-0.6403011059
SRC	0.8161805869	0.7030328567
NDFIP1	-0.8743609989	-0.4577303394
ENDOG	0.3123157979	0.0923737331
MIEN1	-1.3064624468	-1.2245779222
HR	0.3579449692	0
MEDAG	-4.2098765381	-4.1377573947
LRRC20	-0.9291368605	-1.1312473049
PKHD1L1	-2.0137235126	-1.8243767075
EXOC5	-1.7351820001	-1.0623650331
TCEB3	-0.0538548786	-0.0036936489
XPO5	-1.9085195087	-1.6210468492
PAPSS2	0.8039026338	1.1698335724
APRT	-0.8199880135	-0.7603326057
ACTA2	1.6673953987	1.8060907142
MB21D2	2.0734175911	2.6844909915
PGM2L1	-0.7369691148	-0.4521445664
NOVA2	0.5180424942	-0.2159477889
AGXT	-2.8155377368	-2.8075594981
NYX	0.9852994486	1.4588907224
CCDC126	-1.8151982426	-1.2763034193
NINJ1	-1.6483802345	-1.0838624551
CAPRIN2	-1.4743052827	-2.9965361841
PAICS	0.0442555099	-0.2070304792
SRGAP3	-0.5946593724	0.1044453719
FBL	0.2636240168	-0.6661330608
DSTYK	-0.596423617	0.2692823085
FDXACB1	-0.0900639094	0.59575878
TRMT112	-2.9412415734	-3.2078529813
RSAD2	0.2619917626	0.2105171808
TUSC5	-1.8278701909	-1.4285499396
EXOC8	0.8027283867	0.7001795867
SEC62	-0.9164075378	-1.3032758948
