gene	rep1	rep2
HYPM	-4.9348342655	-3.6804651675
ARI1A	2.7771362642	1.5900779033
TIMM10B	1.067562438	0.2186146445
F12	1.8813278105	0.6756802973
VPS8	-1.2054121595	-1.3904517438
RARA	-0.0053196135	0.4588739205
CTIF	-0.4715942519	0.3109447728
YAP1	-0.3440419193	-0.0960942387
RIMKLB	2.054887349	2.8318797976
LSM11	-3.5156254548	-3.1336484201
NELL1	2.3940481644	2.4077908775
AP2A1	-1.5205756212	-0.7477291427
CNP	-0.316143302	0.1708818564
CCDC84	0.4118280737	0.173109385
SARNP	0.5995264548	1.1686118683
DDTL	-0.4875507111	-0.2257788456
TCERG1	-0.8174277822	-0.3362515441
TXNL4B	-1.3847552843	-1.2825392072
CLN6	-3.3242989416	-2.3281283778
EPM2AIP1	-0.6270157411	-1.134489884
SRC	-2.0493116213	-2.0491083867
NDFIP1	0.1257315573	0.2413994434
ENDOG	-2.2718999774	-1.6966666538
MIEN1	-3.2261729368	-2.0625627416
HR	-1.3894774817	-1.0216902972
MEDAG	-3.0407369509	-3.0031193578
LRRC20	-2.358835898	-2.9218085695
PKHD1L1	-2.02080572	-2.2870044646
EXOC5	-0.0388824521	0.8027305641
TCEB3	-0.6293815214	-1.0169425348
XPO5	-0.7859909941	-0.6493760346
PAPSS2	1.2915338978	1.4392700562
APRT	-2.4220433536	-2.0398708114
ACTA2	1.5990268186	1.6845316703
MB21D2	0.8507311691	1.2091287616
PGM2L1	0.5009119876	0.7177333514
NOVA2	1.2640122867	0.3593704306
AGXT	-1.3652819577	-1.4221127732
NYX	0.7811732863	1.2975982017
CCDC126	-0.5692907966	0.1083370691
NINJ1	-4.2893831137	-3.146765993
CAPRIN2	-5.569776855	-7.1150810668
PAICS	-1.2133867439	-1.3659900259
SRGAP3	1.0070211583	1.3331420747
FBL	-1.8575140608	-1.4247516238
DSTYK	-1.678168986	-1.2470310705
FDXACB1	-0.799415463	-0.5538476529
TRMT112	1.5541680985	0.8214614613
RSAD2	-0.1495363442	-0.6671046852
TUSC5	-0.2544064902	0.1447046947
EXOC8	1.2510239508	0.1629582021
SEC62	1.858739481	0.6654365263
BLCAP	-1.7059089126	-0.5486151909
ALPK1	-2.6274065717	-1.7532781433
PPT1	2.7239413998	2.9330940741
PRCC	-1.4396378691	-0.6752343835
MIF	-1.4395830904	-0.7982668105
MPC1	-3.0863122994	-3.3612043117
GNAI3	-1.6567531387	-1.579779413
PTTG1	-0.0406425198	-1.170759771
TTYH1	-0.8006114552	-0.4819338815
TMEM97	1.3489239722	1.2621440026
DDAH2	-0.3639382923	-0.1197994363
PRPF4B	-1.5165505694	-2.8549242014
TSR2	0.9836737786	1.0622702482
EDEM1	-4.6494779176	-2.5414922299
LRMP	-5.167989345	-2.6612913439
C1QTNF8	-1.9674426128	-0.9249537053
NUF2	-4.3512680159	-1.0997894807
XPOT	-0.7554555219	-2.8031349474
SOD1	-2.4263470223	-2.1641517878
ZNRD1	-1.5002256642	-1.6245842182
LNP1	0.4640627373	0.5452230136
WNK4	1.4446122913	0.962867035
TMEM44	-1.517129773	-2.3354895627
RRP1	-1.4290180408	-0.3988760944
FAM98A	0.1709727854	0.6332677975
TTC23L	1.4733185954	1.3102694429
ESD	0.2055407883	0.7568980997
NANOG	-2.0577265926	-2.6934012595
GPBP1L1	-2.7034100634	-3.1664167668
AURKAIP1	1.5255774488	1.5392298571
PCBP2	-2.1269515833	-1.2515791101
HEXIM2	1.3875689773	1.454846618
ENTPD7	-2.0902025336	-2.8089361171
CAGE1	0.1935477683	1.5487071626
PDCL2	-3.732074155	-3.6283732083
EBAG9	-0.4682094216	-0.0147276658
HEMGN	1.0785634133	1.6029901075
