Approved Symbol	UniProt ID(supplied by UniProt)
A1BG	P04217
A1BG-AS1	
A1CF	Q9NQ94
A1S9T~withdrawn	
A2M	P01023
A2M-AS1	
A2ML1	A8K2U0
A2ML1-AS1	
A2ML1-AS2	
A2MP1	
A2MRAP~withdrawn	
A2MR~withdrawn	
A3GALT2	U3KPV4
A4GALT	Q9NPC4
A4GNT	Q9UNA3
A12M1~withdrawn	
A12M2~withdrawn	
A12M3~withdrawn	
A12M4~withdrawn	
AAAS	Q9NRG9
AABT~withdrawn	
AAC1~withdrawn	
AAC2~withdrawn	
AACS	Q86V21
AACSP1	
AACT~withdrawn	
AADAC	P22760
AADACL2	Q6P093
AADACL2-AS1	
AADACL3	Q5VUY0
AADACL4	Q5VUY2
AADACP1	
AADAT	Q8N5Z0
AAED1	Q7RTV5
AAGAB	Q6PD74
AAK1	Q2M2I8
AAMDC	Q9H7C9
AAMP	Q13685
AANAT	Q16613
AAR2	Q9Y312
AARD	Q4LEZ3
AARS	P49588
AARS2	Q5JTZ9
AARSD1	Q9BTE6
AARSP1	
AASDH	Q4L235
AASDHPPT	Q9NRN7
AASS	Q9UDR5
AATBC	
AATF	Q9NY61
AATK	Q6ZMQ8
AATK-AS1	
AAVS1	
AA~withdrawn	
ABALON	
ABAT	P80404
ABC1~withdrawn	
ABC2~withdrawn	
ABC3~withdrawn	
ABC7~withdrawn	
ABC50~withdrawn	
ABCA1	O95477
ABCA2	Q9BZC7
ABCA3	Q99758
ABCA4	P78363
ABCA5	Q8WWZ7
ABCA6	Q8N139
ABCA7	Q8IZY2
ABCA8	O94911
ABCA9	Q8IUA7
ABCA9-AS1	
ABCA10	Q8WWZ4
ABCA11P	Q4W5N1
ABCA12	Q86UK0
ABCA13	Q86UQ4
ABCA17P	
ABCB1	P08183
ABCB2~withdrawn	
ABCB3~withdrawn	
ABCB4	P21439
ABCB5	Q2M3G0
ABCB6	Q9NP58
ABCB7	O75027
ABCB8	Q9NUT2
ABCB9	Q9NP78
ABCB10	Q9NRK6
ABCB10P1	
ABCB10P2~withdrawn	
ABCB10P3	
ABCB10P4	
ABCB11	O95342
ABCC1	P33527
ABCC2	Q92887
ABCC3	O15438
ABCC4	O15439
ABCC5	O15440
ABCC5-AS1	
ABCC6	O95255
ABCC6P1	
ABCC6P2	
ABCC7~withdrawn	
ABCC8	Q09428
ABCC9	O60706
ABCC10	Q5T3U5
ABCC11	Q96J66
ABCC12	Q96J65
ABCC13	Q9NSE7
ABCD1	P33897
ABCD1P1	
ABCD1P2	
ABCD1P3	
ABCD1P4	
ABCD1P5	
ABCD2	Q9UBJ2
ABCD3	P28288
ABCD4	O14678
ABCE1	P61221
ABCF1	Q8NE71
ABCF2	Q9UG63
ABCF2P1	
ABCF2P2	
ABCF3	Q9NUQ8
ABCG1	P45844
ABCG2	Q9UNQ0
ABCG4	Q9H172
ABCG5	Q9H222
ABCG8	Q9H221
ABCR~withdrawn	
ABHD1	Q96SE0
ABHD2	P08910
ABHD3	Q8WU67
ABHD4	Q8TB40
ABHD5	Q8WTS1
ABHD6	Q9BV23
ABHD8	Q96I13
ABHD10	Q9NUJ1
ABHD11	Q8NFV4
ABHD11-AS1	
ABHD11-AS2~withdrawn	
ABHD12	Q8N2K0
ABHD12B	Q7Z5M8
ABHD13	Q7L211
ABHD14A	Q9BUJ0
ABHD14A-ACY1	
ABHD14B	Q96IU4
ABHD15	Q6UXT9
ABHD15-AS1	
ABHD16A	O95870
ABHD16B	Q9H3Z7
ABHD17A	Q96GS6
ABHD17AP1	
ABHD17AP2~withdrawn	
ABHD17AP3	
ABHD17AP4	
ABHD17AP5	
ABHD17AP6	
ABHD17AP7	
ABHD17AP8	
ABHD17AP9	
ABHD17B	Q5VST6
ABHD17C	Q6PCB6
ABHD18	Q0P651
ABI1	Q8IZP0
ABI1P1	
ABI2	Q9NYB9
ABI3	Q9P2A4
ABI3BP	Q7Z7G0
ABL1	P00519
ABL2	P42684
ABLIM1	O14639
ABLIM2	Q6H8Q1
ABLIM3	O94929
ABO	P16442
ABR	Q12979
ABRA	Q8N0Z2
ABRACL	Q9P1F3
ABT1	Q9ULW3
ABT1P1	
ABTB1	Q969K4
ABTB2	Q8N961
ACAA1	P09110
ACAA2	P42765
ACACA	Q13085
ACACB	O00763
ACAD8	Q9UKU7
ACAD9	Q9H845
ACAD10	Q6JQN1
ACAD11	Q709F0
ACADL	P28330
ACADM	P11310
ACADS	P16219
ACADSB	P45954
ACADVL	P49748
ACAD~withdrawn	
ACAN	P16112
ACAP1	Q15027
ACAP2	Q15057
ACAP2-IT1	
ACAP3	Q96P50
ACAT1	P24752
ACAT2	Q9BWD1
ACBD3	Q9H3P7
ACBD3-AS1	
ACBD4	Q8NC06
ACBD5	Q5T8D3
ACBD6	Q9BR61
ACBD7	Q8N6N7
ACBP~withdrawn	
ACCN~withdrawn	
ACCPN~withdrawn	
ACCS	Q96QU6
ACCSL	Q4AC99
ACC~withdrawn	
ACD	Q96AP0
ACE	P12821
ACE2	Q9BYF1
ACE3P	
ACER1	Q8TDN7
ACER2	Q5QJU3
ACER3	Q9NUN7
ACHAP~withdrawn	
ACHE	P22303
ACHM1~withdrawn	
ACHM2~withdrawn	
ACHM3~withdrawn	
ACHRD~withdrawn	
ACHRG~withdrawn	
ACH~withdrawn	
ACIN1	Q9UKV3
ACKR1	Q16570
ACKR2	O00590
ACKR3	P25106
ACKR4	Q9NPB9
ACLS	
ACLY	P53396
ACMG~withdrawn	
ACMSD	Q8TDX5
ACO1	P21399
ACO2	Q99798
ACOD1	A6NK06
ACOT1	Q86TX2
ACOT2	P49753
ACOT4	Q8N9L9
ACOT6	Q3I5F7
ACOT7	O00154
ACOT8	O14734
ACOT9	Q9Y305
ACOT11	Q8WXI4
ACOT12	Q8WYK0
ACOT13	Q9NPJ3
ACOX1	Q15067
ACOX2	Q99424
ACOX3	O15254
ACOXL	Q9NUZ1
ACOXL-AS1	
ACP1	P24666
ACP2	P11117
ACP5	P13686
ACP6	Q9NPH0
ACP7	Q6ZNF0
ACPP	P15309
ACPT	Q9BZG2
ACR	P10323
ACRBP	Q8NEB7
ACRV1	P26436
ACS3~withdrawn	
ACSBG1	Q96GR2
ACSBG2	Q5FVE4
ACSF2	Q96CM8
ACSF3	Q4G176
ACSL1	P33121
ACSL3	O95573
ACSL4	O60488
ACSL5	Q9ULC5
ACSL6	Q9UKU0
ACSM1	Q08AH1
ACSM2A	Q08AH3
ACSM2B	Q68CK6
ACSM3	Q53FZ2
ACSM4	P0C7M7
ACSM5	Q6NUN0
ACSM5P1	
ACSM6	Q6P461
ACSS1	Q9NUB1
ACSS2	Q9NR19
ACSS3	Q9H6R3
ACTA1	P68133
ACTA2	P62736
ACTA2-AS1	
ACTA3~withdrawn	
ACTB	P60709
ACTBL2	Q562R1
ACTBP1	
