Approved Symbol	Previous Symbols	Synonyms
A1BG		
A1BG-AS1	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569
A1CF		ACF, ASP, ACF64, ACF65, APOBEC1CF
A1S9T~withdrawn		
A2M		FWP007, S863-7, CPAMD5
A2M-AS1		
A2ML1	CPAMD9	FLJ25179, p170
A2ML1-AS1		
A2ML1-AS2		
A2MP1	A2MP	
A2MRAP~withdrawn		
A2MR~withdrawn		
A3GALT2	A3GALT2P	IGBS3S, IGB3S
A4GALT		A14GALT, Gb3S, P(k), P1
A4GNT		alpha4GnT
A12M1~withdrawn		
A12M2~withdrawn		
A12M3~withdrawn		
A12M4~withdrawn		
AAAS		
AABT~withdrawn		
AAC1~withdrawn		
AAC2~withdrawn		
AACS		FLJ12389, SUR-5, ACSF1
AACSP1	AACSL	
AACT~withdrawn		
AADAC		DAC, CES5A1
AADACL2		MGC72001
AADACL2-AS1		
AADACL3		OTTHUMG00000001887
AADACL4		OTTHUMG00000001889
AADACP1		
AADAT		KATII, KAT2, KYAT2
AAED1	C9orf21	
AAGAB		FLJ11506, p34
AAK1		KIAA1048, DKFZp686K16132
AAMDC	C11orf67	PTD015, FLJ21035, CK067
AAMP		
AANAT		SNAT
AAR2	C20orf4	bA234K24.2
AARD	C8orf85	LOC441376
AARS		CMT2N, AlaRS
AARS2	AARSL	KIAA1270, bA444E17.1
AARSD1		MGC2744
AARSP1		
AASDH		NRPS998, LYS2, ACSF4
AASDHPPT		LYS5, CGI-80, AASD-PPT, ACPS
AASS		LORSDH, LKRSDH
AATBC		
AATF		DED, CHE-1, CHE1, BFR2
AATK		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77
AATK-AS1		
AAVS1		AAV
AA~withdrawn		
ABALON		INXS
ABAT		GABAT
ABC1~withdrawn		
ABC2~withdrawn		
ABC3~withdrawn		
ABC7~withdrawn		
ABC50~withdrawn		
ABCA1	ABC1, HDLDT1	TGD
ABCA2	ABC2	
ABCA3	ABC3	ABC-C, EST111653, LBM180
ABCA4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3
ABCA5		EST90625
ABCA6		EST155051
ABCA7		ABCX
ABCA8		KIAA0822
ABCA9		EST640918
ABCA9-AS1		
ABCA10		EST698739
ABCA11P	ABCA11	EST1133530, FLJ14297
ABCA12	ICR2B	DKFZP434G232, LI2
ABCA13		FLJ33876, FLJ33951
ABCA17P		
ABCB1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20
ABCB2~withdrawn		
ABCB3~withdrawn		
ABCB4	PGY3, MDR3	MDR2, PFIC-3, GBD1
ABCB5		EST422562, ABCB5beta, ABCB5alpha
ABCB6		EST45597, umat, MTABC3
ABCB7	ABC7	EST140535, Atm1p, ASAT
ABCB8		EST328128, M-ABC1, MABC1
ABCB9		EST122234
ABCB10		EST20237, M-ABC2, MTABC2
ABCB10P1	ABCB10P, ABCB10P2	M-ABC2, MABC2
ABCB10P2~withdrawn		
ABCB10P3		
ABCB10P4		
ABCB11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4
ABCC1	MRP, MRP1	GS-X
ABCC2	CMOAT	DJS, MRP2, cMRP
ABCC3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D
ABCC4		MRP4, EST170205, MOAT-B, MOATB
ABCC5		MRP5, SMRP, EST277145, MOAT-C
ABCC5-AS1		
ABCC6	ARA, PXE	MRP6, EST349056, MLP1, URG7
ABCC6P1		
ABCC6P2		
ABCC7~withdrawn		
ABCC8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2
ABCC9		SUR2, CMD1O
ABCC10		EST182763, MRP7, SIMRP7
ABCC11		MRP8
ABCC12		MRP9
ABCC13		PRED6, C21orf73, ABCC13P
ABCD1	ALD	AMN, ALDP, adrenoleukodystrophy
ABCD1P1		
ABCD1P2		bA453N3.6
ABCD1P3		
ABCD1P4		
ABCD1P5		
ABCD2	ALDL1	ALDR, ALDRP
ABCD3	PXMP1	PMP70, ZWS2
ABCD4	PXMP1L	PMP69, P70R, EST352188
ABCE1	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1
ABCF1	ABC50	EST123147
ABCF2		EST133090, ABC28, M-ABC1, HUSSY-18
ABCF2P1		
ABCF2P2		
ABCF3		EST201864
ABCG1		ABC8
ABCG2		EST157481, MXR, BCRP, ABCP, CD338
ABCG4		WHITE2
ABCG5		STSL
ABCG8		GBD4
ABCR~withdrawn		
ABHD1		LABH1, FLJ36128
ABHD2		LABH2
ABHD3		LABH3
ABHD4		FLJ12816
ABHD5		CGI-58, NCIE2
ABHD6		
ABHD8		FLJ11743, MGC14280, MGC2512
ABHD10		FLJ11342
ABHD11	WBSCR21	PP1226
ABHD11-AS1	WBSCR26, LINC00035	NCRNA00035
ABHD11-AS2~withdrawn		
ABHD12	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A
ABHD12B	C14orf29	BEM46L3
ABHD13	C13orf6	bA153I24.2, FLJ14906, BEM46L1
ABHD14A		DKFZP564O243, DORZ1
ABHD14A-ACY1		
ABHD14B		MGC15429, CIB
ABHD15		
ABHD15-AS1		linc-TP53I13, lnc-TP53I13
ABHD16A	BAT5	NG26, D6S82E
ABHD16B	C20orf135	dJ591C20.1
ABHD17A	C19orf27, FAM108A1	MGC5244
ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47
ABHD17AP2~withdrawn		
ABHD17AP3	FAM108A4, FAM108A4P	
ABHD17AP4	FAM108A5, FAM108A5P	
ABHD17AP5	FAM108A6, FAM108A6P	
ABHD17AP6	FAM108A7P	
ABHD17AP7	FAM108A8P	
ABHD17AP8	FAM108A9P	
ABHD17AP9	FAM108A10P	
ABHD17B	C9orf77, FAM108B1	CGI-67
ABHD17C	FAM108C1	
ABHD18	C4orf29	FLJ21106
ABI1	SSH3BP1	E3B1, ABI-1
ABI1P1	SSH3BP1P, ABI1P	
ABI2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2
ABI3		NESH, SSH3BP3
ABI3BP		NESHBP, DKFZP586L2024, TARSH
ABL1	ABL	JTK7, c-ABL, p150
ABL2	ABLL	ARG
ABLIM1	LIMAB1, ABLIM	abLIM, limatin
ABLIM2		KIAA1808
ABLIM3		KIAA0843
ABO		A3GALNT, A3GALT1
ABR		MDB
ABRA		STARS
ABRACL	C6orf115	PRO2013, HSPC280, Costars
ABT1		
ABT1P1		
ABTB1		BPOZ, EF1ABP, Btb3, BTBD21
ABTB2		DKFZP586C1619, BTBD22, ABTB2A
ACAA1		
ACAA2		DSAEC
ACACA	ACAC, ACC	ACC1
ACACB		HACC275, ACC2, ACCB
ACAD8		
ACAD9		NPD002, MGC14452
ACAD10		MGC5601
ACAD11		FLJ12592
ACADL		LCAD, ACAD4
ACADM		MCAD, MCADH, ACAD1
ACADS		SCAD, ACAD3
ACADSB		SBCAD, ACAD7
ACADVL		VLCAD, LCACD, ACAD6
ACAD~withdrawn		
ACAN	MSK16, CSPG1, AGC1	CSPGCP
ACAP1	CENTB1	KIAA0050
ACAP2	CENTB2	KIAA0041, CNT-B2
ACAP2-IT1		
ACAP3	CENTB5	KIAA1716
ACAT1	ACAT	THIL
ACAT2		
ACBD3	GOLPH1, GOCAP1	GCP60, PAP7
ACBD3-AS1		
ACBD4		FLJ13322
ACBD5		DKFZp434A2417, KIAA1996
ACBD6		MGC2404
ACBD7		FLJ38219, bA455B2.2
ACBP~withdrawn		
ACCN~withdrawn		
ACCPN~withdrawn		
ACCS		PHACS, ACS
ACCSL		
ACC~withdrawn		
ACD		Ptop, Pip1, Tpp1, Tint1
ACE	DCP1	ACE1, CD143
ACE2		
ACE3P		
ACER1	ASAH3	
ACER2	ASAH3L	FLJ41587, ALKCDase2
ACER3	PHCA	FLJ11238, APHC
ACHAP~withdrawn		
ACHE	YT	
ACHM1~withdrawn		
ACHM2~withdrawn		
ACHM3~withdrawn		
ACHRD~withdrawn		
ACHRG~withdrawn		
ACH~withdrawn		
ACIN1	ACINUS	KIAA0670, fSAP152
ACKR1	FY, DARC	CCBP1, GPD, Dfy, CD234
ACKR2	CMKBR9, CCBP2	CCR10, D6, CCR9
ACKR3	CMKOR1, CXCR7	RDC1, GPR159
ACKR4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1
ACLS		
ACLY		ATPCL, CLATP, ACL
ACMG~withdrawn		
ACMSD		
ACO1	IREB1	IRP1, IREBP
ACO2		ACONM
ACOD1	IRG1	CAD
ACOT1		ACH2, CTE-1, LACH2
ACOT2		Mte1, ZAP128
ACOT4		FLJ31235, PTE-Ib, PTE2B
ACOT6	C14orf42	
ACOT7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH
ACOT8	PTE1	hACTE-III, hTE, PTE-2, NAP1
ACOT9		CGI-16, MT-ACT48, ACATE2
ACOT11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1
ACOT12		Cach, THEAL, STARD15
ACOT13	THEM2	HT012
ACOX1		PALMCOX
ACOX2		BRCACOX, BRCOX, THCCox
ACOX3		
ACOXL		FLJ11042
ACOXL-AS1		
ACP1		HAAP, LMW-PTP, LMWPTP
ACP2		LAP
ACP5		TRAP, HPAP
ACP6		LPAP, ACPL1
ACP7		FLJ16165, PAPL1, PAPL
ACPP		ACP3, ACP-3, PAP
ACPT		
ACR		
ACRBP		SP32, OY-TES-1, CT23
ACRV1		SPACA2, SP-10, D11S4365
ACS3~withdrawn		
ACSBG1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG
ACSBG2		BGR, PRTD-NY3, DKFZp434K1635
ACSF2		FLJ20920, ACSMW
ACSF3		
ACSL1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1
ACSL3	FACL3	ACS3, PRO2194
ACSL4	FACL4, MRX63, MRX68	ACS4, LACS4
ACSL5	FACL5	ACS5, ACS2
ACSL6	FACL6	KIAA0837, ACS2, LACS5, LACS2
ACSM1	BUCS1	MACS1
ACSM2A	ACSM2	A-923A4.1, MGC150530
ACSM2B	ACSM2	HXMA, HYST1046
ACSM3	SAH	SA
ACSM4		
ACSM5		FLJ20581
ACSM5P1		
ACSM6	C10orf129	bA310E22.3
ACSS1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843
ACSS2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1
ACSS3		FLJ21963
ACTA1	ACTA	NEM3
ACTA2		ACTSA
ACTA2-AS1		uc001kfo.1, ZXF1
ACTA3~withdrawn		
ACTB		
ACTBL2		DKFZp686D0972
ACTBP1		
ACTBP2		
ACTBP3		
ACTBP4		
ACTBP5~withdrawn		
ACTBP6		
ACTBP7		
ACTBP8		ACTBP2
ACTBP9		
ACTBP10		
ACTBP11		
ACTBP12	ACTGP5	
ACTBP13		
ACTBP14		
ACTC1	ACTC	CMD1R
ACTG1	ACTG, DFNA20, DFNA26	
ACTG1P1	ACTGP1, ACT1GP1	
ACTG1P2	ACTL2, ACTGP2	
ACTG1P3	ACTGP3	
ACTG1P4	ACTGP4	
ACTG1P6	ACTGP6	
ACTG1P7	ACTGP7	
ACTG1P8	ACTGP8	
ACTG1P9	ACTGP9	
ACTG1P10	ACTL1, ACTGP10	
ACTG1P11		
ACTG1P12		
ACTG1P13		
ACTG1P14		
ACTG1P15		
ACTG1P16		
ACTG1P17		
ACTG1P18		
ACTG1P19		
ACTG1P20		
ACTG1P21		
ACTG1P22		
ACTG1P23		
ACTG1P24	POTENP	
ACTG2	ACTL3, ACTA3	ACTSG
ACTL2~withdrawn		
ACTL3~withdrawn		
ACTL4~withdrawn		
ACTL5~withdrawn		
ACTL6A		Actl6, BAF53A, Arp4, Baf53a, INO80K
ACTL6B	ACTL6	BAF53B
ACTL7A		
ACTL7B		Tact1
ACTL8		CT57
ACTL9		MGC33407
ACTL10	C20orf134	
ACTN1		
ACTN1-AS1	C14orf84	
ACTN2		
ACTN3		
ACTN4	FSGS1	
ACTN4P1		
ACTN4P2		
ACTP1		
ACTR1A		ARP1, Arp1A
ACTR1B	CTRN2	Arp1B
ACTR2		ARP2
ACTR3		ARP3
ACTR3B		ARP11, ARP3beta
ACTR3BP1		
ACTR3BP2		FKSG73
ACTR3BP3		
ACTR3BP4		
ACTR3BP5		
ACTR3BP6		
ACTR3C		ARP11
ACTR3P1		
ACTR3P2		
ACTR3P3		
ACTR5		FLJ12785, Arp5, INO80M
ACTR6		ARP6, FLJ13433
ACTR6P1		
ACTR8		INO80N
ACTR10		HARP11, ACTR11, Arp11, Arp10
ACTRT1		AIP1, KIAA0705, ARIP1, Arp-T1
ACTRT2		Arp-T2, ARPM2, FLJ25424
ACTRT3		ARPM1
ACVR1	ACVRLK2	SKR1, ALK2, ACVR1A
ACVR1B	ACVRLK4	ALK4, SKR2, ActRIB
ACVR1C		ALK7, ACVRLK7
ACVR2A	ACVR2	ACTRII
ACVR2B		ActR-IIB
ACVR2B-AS1		
ACVRL1	ACVRLK1, ORW2	HHT2, ALK1, HHT
ACVRLK2~withdrawn		
ACY1		
ACY1L~withdrawn		
ACY3		HCBP1, MGC9740, ACY-3
ACYP1		
ACYP2		
AD1~withdrawn		
AD2~withdrawn		
AD3~withdrawn		
AD4~withdrawn		
AD5		
ADA		
ADA2	IDGFL, CECR1	ADGF
ADAD1		Tenr
ADAD1P1		
ADAD1P2		
ADAD2		TENRL, FLJ00337
ADAL		
ADAM1A	ADAM1	FTNAP, PH-30a, Ftna, ADAM1P
ADAM1B		
ADAM2	FTNB	PH-30b, PH30, CT15
ADAM3A	CYRN1	ADAM3, tMDCI
ADAM3B	CYRN2	
ADAM5	ADAM5P	tMDCII
ADAM6	C14orf96	tMDCIV
ADAM7		GP-83, EAPI
ADAM8		CD156, MS2, CD156a
ADAM9	CORD9	MDC9, KIAA0021, MCMP, Mltng
ADAM10		kuz, MADM, HsT18717, CD156c
ADAM11	MDC	
ADAM12		MCMPMltna, MLTN
ADAM12-OT1~withdrawn		
ADAM15		MDC15
ADAM17	TACE	cSVP, CD156B
ADAM18		tMDCIII, ADAM27
ADAM19		MLTNB
ADAM20		
ADAM20P1	C14orf55	
ADAM20P2		
ADAM20P3		
ADAM21		ADAM31
ADAM21P1	ADAM21P	
ADAM22		MDC2
ADAM23		MDC3
ADAM24P		
