transcript	GENE_NAME	chr	n_exons	tx_start	tx_end	bp	mu_syn	mu_mis	mu_lof	n_syn	n_mis	n_lof	adj_exp_syn	adj_exp_mis	adj_exp_lof	syn_z	mis_z	lof_z	em_p_hi
ENST00000379370.2	AGRN	1	36	955552	990361	6138	5.46E-05	0.000102207	4.85E-06	517	829	13	445.2155386	837.314601	54.4169577	-2.109089224	0.140544378	5.56161315	0.17335234
ENST00000327044.6	NOC2L	1	19	880073	894620	2250	1.42E-05	2.90E-05	2.07E-06	227	394	29	154.6689656	311.8332155	28.88351179	-3.605556289	-2.275891885	-0.021470723	1.33E-19
ENST00000379198.2	B3GALT6	1	1	1167658	1168648	990	1.35E-05	2.45E-05	4.56E-07	48	69	2	82.40330088	149.1277385	3.000516467	2.349510191	3.209371442	0.572157937	0.048104466
ENST00000421241.2	C1orf159	1	8	1018272	1026923	597	5.25E-06	9.83E-06	5.88E-07	33	57	2	25.77093112	50.87644239	4.39233089	-0.882809178	-0.419915665	1.130741679	0.090877636
ENST00000379389.4	ISG15	1	2	948953	949858	498	4.13E-06	7.25E-06	2.36E-07	44	79	3	47.5922764	82.9624756	3.51067386	0.322813273	0.21278581	0.269984023	0.009847813
ENST00000338591.3	KLHL17	1	12	896073	900571	1929	1.79E-05	3.33E-05	1.70E-06	230	277	13	159.550603	297.2900979	18.83245427	-3.457622285	0.575586311	1.33133552	2.52E-07
ENST00000379410.3	PLEKHN1	1	16	901911	909955	1836	1.33E-05	2.62E-05	1.79E-06	152	335	15	120.6899036	231.4562483	21.1497098	-1.766845054	-3.328941566	1.324622575	2.02E-08
ENST00000342066.3	SAMD11	1	13	861321	879533	2046	1.64E-05	3.12E-05	1.88E-06	182	364	17	127.7082477	243.2664754	20.00503108	-2.978340353	-3.786195942	0.66553213	1.35E-10
ENST00000335137.3	OR4F5	1	1	69090	70008	918	3.43E-06	7.98E-06	2.19E-07	5	8	1	30.01604024	69.31116853	2.217719099	2.830683719	3.602088999	0.809997226	0.176329298
ENST00000428771.2	HES4	1	3	934438	935353	744	9.13E-06	1.64E-05	3.60E-07	46	72	5	59.55786411	110.748771	3.489528351	1.08910829	1.800964465	-0.800974875	0.000147943
ENST00000330388.2	FAM132A	1	8	1177927	1182070	909	7.89E-06	1.54E-05	8.26E-07	59	109	7	50.0401127	95.79541609	7.818168045	-0.785223096	-0.659885729	0.289854278	4.68E-05
ENST00000328596.6	TNFRSF18	1	4	1138970	1141951	768	6.21E-06	1.25E-05	5.63E-07	50	107	8	40.68724535	81.94441848	5.568432276	-0.905103496	-1.35382095	-1.020727045	8.37E-07
ENST00000360001.6	SDF4	1	6	1152891	1164173	1089	8.92E-06	1.56E-05	7.07E-07	91	143	6	102.5773634	176.4965184	10.38718475	0.708654553	1.233240631	1.348424701	0.001309827
