From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
B4DP52	B4DP52	unreviewed	B4DP52_HUMAN	HCG2005638, isoform CRA_c (cDNA FLJ53073, highly similar to Spliceosome RNA helicase Bat1)	hCG_2005638	Homo sapiens (Human)	350
Q6RUI8	Q6RUI8		CS048_HUMAN	deleted			
Q9Y2S0	P0DPB6	reviewed	RPAC2_HUMAN	DNA-directed RNA polymerases I and III subunit RPAC2 (RNA polymerases I and III subunit AC2) (AC19) (DNA-directed RNA polymerase I subunit D) (RNA polymerase I 16 kDa subunit) (RPA16) (RPC16) (hRPA19)	POLR1D	Homo sapiens (Human)	133
Q9Y2S0	P0DPB5	reviewed	RPC22_HUMAN	Protein POLR1D, isoform 2	POLR1D	Homo sapiens (Human)	122
Q494X1	Q494X1		F153C_HUMAN	deleted			
B7Z3K1	B7Z3K1	unreviewed	B7Z3K1_HUMAN	cDNA FLJ51973		Homo sapiens (Human)	132
Q5T1B1	Q5T1B1		CJ091_HUMAN	deleted			
A1A4T8	A1A4T8		CN182_HUMAN	deleted			
A2BFH1	A0A0B4J2A2	reviewed	PAL4C_HUMAN	Peptidyl-prolyl cis-trans isomerase A-like 4C (PPIase A-like 4C) (EC 5.2.1.8)	PPIAL4C	Homo sapiens (Human)	164
A2BFH1	P0DN37	reviewed	PAL4G_HUMAN	Peptidyl-prolyl cis-trans isomerase A-like 4G (PPIase A-like 4G) (EC 5.2.1.8) (Peptidylprolyl cis-trans isomerase A-like 4)	PPIAL4G	Homo sapiens (Human)	164
F5H5G3	F5H5G3		F5H5G3_HUMAN	deleted			
E9PGZ2	Q32MZ4	reviewed	LRRF1_HUMAN	Leucine-rich repeat flightless-interacting protein 1 (LRR FLII-interacting protein 1) (GC-binding factor 2) (TAR RNA-interacting protein)	LRRFIP1 GCF2 TRIP	Homo sapiens (Human)	808
