GeneStart	GeneEnd	Chromosome	HGNCsymbol
20737094 20747114 15 GOLGA6L6
49280673 49338760 15 SECISBP2L
22051853 22083227 15 POTEB
10906201 11029719 21 TPTE
14982498 15013906 21 POTED
13217497 13652754 18 LDLRAD4
15481134 15583166 21 LIPI
15588451 15600693 21 RBM11
22368478 22369561 15 OR4M2
22382382 22383507 15 OR4N4
15743436 15755805 21 HSPA13
22736246 22746002 15 GOLGA6L1
49398268 49447858 15 COPS2
15857549 15955723 21 SAMSN1
22833395 22873892 15 TUBGCP5
16333556 16437321 21 NRIP1
41028082 41048049 15 RMDN3
41056218 41059906 15 GCHFR
41060067 41099675 15 DNAJC17
13663346 13726662 18 FAM210A
17102344 17252377 21 USP25
44259081 44339220 18 ST8SIA5
18811208 18821503 21 C21orf37
18884700 18965897 21 CXADR
13726659 13764557 18 RNMT
44388353 44500123 18 PIAS2
49447853 49660066 15 GALK2
18965971 18985265 21 BTG3
41062159 41064643 15 C15orf62
44165625 44176065 20 EPPIN-WFDC6
44179792 44207965 20 WFDC8
63334831 63364114 15 TPM1
44236578 44259907 20 WFDC9
19161284 19191703 21 C21orf91
91073157 91188577 15 CRTC3
41099284 41106767 15 ZFYVE19
54967427 54979518 20 CSTF1
19273580 19639690 21 CHODL
44258165 44259835 20 WFDC10A
22892005 23006016 15 CYFIP1
44277202 44298909 20 WFDC11
44313292 44333658 20 WFDC10B
19641433 19858197 21 TMPRSS15
44330655 44337456 20 WFDC13
44350990 44354469 20 SPINT4
2639041 2644865 20 IDH3B
44497455 44627658 18 KATNAL2
44376583 44420571 20 WFDC3
54987168 55034396 20 CASS4
22370633 22915650 21 NCAM2
41107650 41120907 15 PPP1R14D
49619159 49913128 15 FAM227B
13824154 13826861 18 MC5R
13882043 13915706 18 MC2R
63413999 63434260 15 LACTB
91260558 91358859 15 BLM
26957968 26979829 21 MRPL39
14057456 14132489 18 ZNF519
57570240 57582302 20 CTSZ
55043647 55093943 20 RTFDC1
41136216 41150405 15 SPINT1
2673524 2740753 20 EBF4
57594309 57601709 20 TUBB1
49715293 49780972 15 FGF7
14507338 14543584 18 POTEC
44420576 44440066 20 DNTTIP1
44542731 44544607 18 TCEB3CL2
27011584 27089874 21 JAM2
57600522 57607437 20 ATP5E
44548658 44550534 18 TCEB3CL
63418071 63450220 15 RPS27L
44554573 44556449 18 TCEB3C
44558943 44561988 18 TCEB3B
116237 118417 9 FOXD4
63481668 63559981 15 RAB8B
44441215 44445596 20 UBE2C
55066548 55100981 20 GCNT7
57608200 57617964 20 SLMO2
44633774 44676891 18 HDHD2
27088815 27107984 21 ATP5J
125677845 125693779 9 ZBTB26
55092243 55101198 20 FAM209A
49913177 49937333 15 DTWD1
2774715 2781283 20 CPXM1
55108302 55111576 20 FAM209B
41164412 41166487 15 RHOV
91411822 91426688 15 FURIN
23004684 23034427 15 NIPA2
27106881 27144771 21 GABPA
55204358 55214339 20 TFAP2C
57766075 57834168 20 ZNF831
44451853 44462384 20 TNNC2
41186628 41196173 15 VPS18
63568217 63601325 15 APH1B
125703112 125867145 9 RABGAP1
44681413 44702745 18 IER3IP1
57875482 57901047 20 EDN3
41221538 41231237 15 DLL4
2795614 2800930 20 TMEM239
14728271 14852737 18 ANKRD30B
55743804 55841685 20 BMP7
44746293 44775554 18 SKOR2
2795633 2796479 20 C20orf141
125796806 125797975 9 GPR21
121041 188979 9 CBWD1
2815960 2821836 20 PCED1A
45357922 45457515 18 SMAD2
50150435 50475014 15 ATP8B4
125871779 126030855 9 STRBP
91426925 91439006 15 FES
23043277 23100005 15 NIPA1
55904815 55919050 20 SPO11
63613577 63674360 15 CA12
58152564 58422766 20 PHACTR3
213108 215893 9 C9orf66
18526867 18691812 18 ROCK1
41245160 41248710 15 CHAC1
44462449 44471914 20 SNX21
126118449 126142603 9 CRB2
55926066 55954267 20 RAE1
2821349 2847378 20 VPS16
23255242 23268823 15 GOLGA8I
27252861 27543446 21 APP
44470360 44486045 20 ACOT8
41271078 41408552 15 INO80
50474393 50528592 15 SLC27A2
19747910 19755992 13 TUBA3C
55933496 55934878 20 MTRNR2L3
55966463 55984389 20 RBM38
214854 465259 9 DOCK8
126141933 126692431 9 DENND1A
18822203 19105378 18 GREB1L
27838528 27945603 21 CYYR1
58438618 58508710 20 SYCP2
50534144 50558223 15 HDC
19997017 20110903 13 TPTE2
63796793 63886839 15 USP3
45553044 45937123 18 ZBTB7C
28208066 28217728 21 ADAMTS1
126763949 126795580 9 LHX2
28290231 28338832 21 ADAMTS5
23599895 23612378 15 GOLGA8S
20207788 20247599 13 MPHOSPH8
41474923 41522941 15 EXD1
30244513 30257693 21 N6AMT1
91445448 91465814 15 MAN2A2
470291 746105 9 KANK1
20248896 20357142 13 PSPC1
23684645 23692381 15 GOLGA6L2
127019885 127115586 9 NEK6
841690 969090 9 DMRT1
50569389 50647605 15 GABPB1
23810454 23873064 15 MKRN3
46065417 46389588 18 CTIF
976964 991731 9 DMRT3
20397622 20437776 13 ZMYM5
23915312 23922495 22 IGLL1
30300466 30365270 21 LTN1
23888691 23891175 15 MAGEL2
23930565 23932450 15 NDN
44486256 44507761 20 ZSWIM3
127115745 127177723 9 PSMB7
24920541 24928593 15 NPAP1
1050354 1057552 9 DMRT2
44509866 44513905 20 ZSWIM1
56071035 56100708 20 CTCFL
41523037 41574043 15 CHP1
44515128 44516274 20 SPATA25
44517264 44519926 20 NEURL2
127213423 127239379 9 GPR144
41601466 41624819 15 OIP5
23950639 23974508 22 C22orf43
30376705 30391699 21 RWDD2B
127243516 127269709 9 NR5A1
46446223 46477081 18 SMAD7
58508819 58523735 20 FAM217B
2844830 3019722 20 PTPRA
58511894 58515352 20 PPP1R3D
25068794 25223870 15 SNRPN
127279554 127533589 9 NR6A1
58533471 58609066 20 CDH26
24030323 24041363 22 RGL4
44518783 44527459 20 CTSA
127539437 127577164 9 OLFML2A
30396950 30426809 21 USP16
19109242 19180845 18 ESCO1
20532810 20665968 13 ZMYM2
41624892 41673248 15 NUSAP1
63889552 63894627 15 FBXL22
127615755 127620160 9 WDR38
2015342 2193624 9 SMARCA2
127620159 127624260 9 RPL35
127624409 127640003 9 ARPC5L
58630980 58648008 20 C20orf197
24083769 24093279 22 ZNF70
19192228 19210417 18 SNRPD1
24094930 24096655 22 VPREB3
50716577 50793280 15 USP8
59827482 60515673 20 CDH4
127640646 127710771 9 GOLGA1
24105208 24108048 22 C22orf15
8993765 9009084 8 PPP1R3B
63900817 64126141 15 HERC1
19230858 19284766 18 ABHD3
24108021 24110630 22 CHCHD10
56136136 56141513 20 PCK1
