From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q8NCM6	Q6R327	reviewed	RICTR_HUMAN	Rapamycin-insensitive companion of mTOR (AVO3 homolog) (hAVO3)	RICTOR KIAA1999	Homo sapiens (Human)	1708
Q6IEW6	Q6IEW6	unreviewed	Q6IEW6_HUMAN	Olfactory receptor		Homo sapiens (Human)	312
Q8IYQ9	O00505	reviewed	IMA4_HUMAN	Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma)	KPNA3 QIP2	Homo sapiens (Human)	521
Q6ZSM6	Q6ZSM6		Q6ZSM6_HUMAN	deleted			
Q9HBP0	Q9HBP0	unreviewed	Q9HBP0_HUMAN	Inhibin beta A chain (Activin beta-A chain)		Homo sapiens (Human)	426
Q308M2	P45983	reviewed	MK08_HUMAN	Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8) (EC 2.7.11.24) (JNK-46) (Stress-activated protein kinase 1c) (SAPK1c) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1)	MAPK8 JNK1 PRKM8 SAPK1 SAPK1C	Homo sapiens (Human)	427
Q5SY82	Q5SY82		Q5SY82_HUMAN	deleted			
Q86YG3	Q86YG3	unreviewed	Q86YG3_HUMAN	Similar to glutamate receptor, metabotropic 2		Homo sapiens (Human)	468
Q5SRQ8	Q5SRQ8		Q5SRQ8_HUMAN	deleted			
Q59GL0	Q59GL0	unreviewed	Q59GL0_HUMAN	Rearranged L-myc fusion sequence variant		Homo sapiens (Human)	1608
Q9H8N1	Q9H8N1	unreviewed	Q9H8N1_HUMAN	cDNA FLJ13385 fis, clone PLACE1001088		Homo sapiens (Human)	191
Q6FGC8	P27469	reviewed	G0S2_HUMAN	G0/G1 switch protein 2 (G0/G1 switch regulatory protein 2) (Putative lymphocyte G0/G1 switch gene)	G0S2	Homo sapiens (Human)	103
Q96CG5	A5D8V7	reviewed	ODAD3_HUMAN	Outer dynein arm-docking complex subunit 3 (Coiled-coil domain-containing protein 151)	ODAD3 CCDC151	Homo sapiens (Human)	595
Q05C47	O94822	reviewed	LTN1_HUMAN	E3 ubiquitin-protein ligase listerin (EC 2.3.2.27) (RING finger protein 160) (RING-type E3 ubiquitin transferase listerin) (Zinc finger protein 294)	LTN1 C21orf10 C21orf98 KIAA0714 RNF160 ZNF294 HSPC087	Homo sapiens (Human)	1766
Q9NRB7	O75791	reviewed	GRAP2_HUMAN	GRB2-related adapter protein 2 (Adapter protein GRID) (GRB-2-like protein) (GRB2L) (GRBLG) (GRBX) (Grf40 adapter protein) (Grf-40) (Growth factor receptor-binding protein) (Hematopoietic cell-associated adapter protein GrpL) (P38) (Protein GADS) (SH3-SH2-SH3 adapter Mona)	GRAP2 GADS GRB2L GRID	Homo sapiens (Human)	330
Q9BV50	Q9BV50	unreviewed	Q9BV50_HUMAN	Uncharacterized protein		Homo sapiens (Human)	105
Q6P5R5	Q6P5R5		Q6P5R5_HUMAN	deleted			
Q66K77	Q01973	reviewed	ROR1_HUMAN	Inactive tyrosine-protein kinase transmembrane receptor ROR1 (Neurotrophic tyrosine kinase, receptor-related 1)	ROR1 NTRKR1	Homo sapiens (Human)	937
Q9H6B2	Q7Z7D3	reviewed	VTCN1_HUMAN	V-set domain-containing T-cell activation inhibitor 1 (B7 homolog 4) (B7-H4) (B7h.5) (Immune costimulatory protein B7-H4) (Protein B7S1) (T-cell costimulatory molecule B7x)	VTCN1 B7H4 UNQ659/PRO1291	Homo sapiens (Human)	282
Q96K20	Q96K20	unreviewed	Q96K20_HUMAN	cDNA FLJ14841 fis, clone OVARC1002158		Homo sapiens (Human)	246
Q6IAN9	O43657	reviewed	TSN6_HUMAN	Tetraspanin-6 (Tspan-6) (A15 homolog) (Putative NF-kappa-B-activating protein 321) (T245 protein) (Tetraspanin TM4-D) (Transmembrane 4 superfamily member 6)	TSPAN6 TM4SF6 UNQ767/PRO1560	Homo sapiens (Human)	245
Q9UJ40	P46939	reviewed	UTRN_HUMAN	Utrophin (Dystrophin-related protein 1) (DRP-1)	UTRN DMDL DRP1	Homo sapiens (Human)	3433
Q9NW22	Q9NW22	unreviewed	Q9NW22_HUMAN	(human) hypothetical protein		Homo sapiens (Human)	294
Q6ZN51	Q6ZN51		Q6ZN51_HUMAN	deleted			
Q5VSK2	P22897	reviewed	MRC1_HUMAN	Macrophage mannose receptor 1 (MMR) (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Human mannose receptor) (hMR) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206)	MRC1 CLEC13D CLEC13DL MRC1L1	Homo sapiens (Human)	1456
Q8N9K3	Q8N9K3		YA015_HUMAN	deleted			
Q9Y6B5	Q9Y6B5	unreviewed	Q9Y6B5_HUMAN	non-specific serine/threonine protein kinase (EC 2.7.11.1)		Homo sapiens (Human)	540
Q9UMW5	Q5T4B2	reviewed	GT253_HUMAN	Inactive glycosyltransferase 25 family member 3 (Cerebral endothelial cell adhesion molecule)	CERCAM CEECAM1 GLT25D3 KIAA1502	Homo sapiens (Human)	595
Q5TCY7	Q5TCY7		Q5TCY7_HUMAN	deleted			
Q8TD42	Q8TD42		Q8TD42_HUMAN	deleted			
