id	rep1	rep2	logFC	pvalue	FDR	gene
1	-1.6515	-2.257	-1.95425	0.00232334738938486	0.0895669370760065	CALML5
2	-0.7835	-1.219	-1.00125	0.0079013412969172	0.120908897055152	MICALL2
3	-2.8205	-2.985	-2.90275	9.09327238271421e-05	0.034603301593701	SPTBN1
4	1.7815	2.466	2.12375	0.00245015937289987	0.0895669370760065	IKZF1
5	-2.8755	-3.119	-2.99725	0.000119940390352497	0.034603301593701	SPTAN1
6	0.2085	-0.081	0.06375	0.644535372664588	0.769918222942807	TDP1
7	1.1285	1.719	1.42375	0.00551738120338144	0.112378310053915	FAM83G
8	-3.7775	-2.458	-3.11775	0.00454332029019886	0.105979685218915	KPRP
9	-0.2885	-0.753	-0.52075	0.0513891658904258	0.214710610877708	TOP2B
11	-0.4675	-0.664	-0.56575	0.0130088822318185	0.138752828306263	SSFA2
12	-0.7905	-1.325	-1.05775	0.0103084224755125	0.12981366543563	SSH2
13	-0.5505	-0.557	-0.55375	0.00826452829454062	0.123549966483468	CGN
14	-1.3175	-1.798	-1.55775	0.00268457258326268	0.0910540597828269	SIPA1
15	-2.7005	-3.002	-2.85125	0.000186892774961445	0.034603301593701	ACTN4
16	-0.2415	-0.979	-0.61025	0.0836738082565195	0.257277410433597	TOP2A
17	-2.1135	-2.227	-2.17025	0.000178783593968316	0.034603301593701	IQGAP1
18	-2.5765	-2.277	-2.42675	0.000300199315655229	0.034603301593701	SPTAN1
19	-0.3035	0.742	0.21925	0.551087253858705	0.707956683012549	PCYOX1
20	0.2805	-2.853	-1.28625	0.267914728962382	0.459801491020468	POF1B
21	-0.8085	-1.628	-1.21825	0.0186388950995675	0.156167565024387	CORO1B
22	0.6655	0.593	0.62925	0.00622980344918057	0.118651516149724	CCDC102A
23	-1.4835	-2.378	-1.93075	0.0063833794402739	0.118651516149724	ARHGEF11
24	0.7805	0.324	0.55225	0.0431077816765944	0.201901811027661	POLB
25	-3.0865	-2.696	-2.89125	0.000279822004984853	0.034603301593701	FLNA
